Name,Year,duration_min,genres,director,lead_actor,vote_average
La La Land,2016,129.0,"Comedy, Drama, Romance, Music",Damien Chazelle,Ryan Gosling,7.9
Dune,2021,155.0,"Science Fiction, Adventure",Denis Villeneuve,Timothée Chalamet,7.782
Eternal Sunshine of the Spotless Mind,2004,108.0,"Science Fiction, Drama, Romance",Michel Gondry,Jim Carrey,8.092
Uncut Gems,2019,136.0,"Drama, Thriller, Crime",Benny Safdie,Adam Sandler,7.2
Hereditary,2018,128.0,"Horror, Mystery, Thriller",Ari Aster,Toni Collette,7.291
Moonlight,2016,111.0,Drama,Barry Jenkins,Trevante Rhodes,7.371
Don't Look Up,2021,138.0,"Comedy, Science Fiction",Adam McKay,Leonardo DiCaprio,7.07
Black Swan,2010,109.0,"Drama, Thriller, Horror",Darren Aronofsky,Natalie Portman,7.7
The Shape of Water,2017,123.0,"Drama, Fantasy, Romance",Guillermo del Toro,Sally Hawkins,7.243
A Clockwork Orange,1971,137.0,"Science Fiction, Crime",Stanley Kubrick,Malcolm McDowell,8.186
Sound of Metal,2019,120.0,"Drama, Music",Darius Marder,Riz Ahmed,7.712
Come and See,1985,142.0,"Drama, War",Elem Klimov,Aleksei Kravchenko,8.234
Chernobyl,2019,104.0,"Drama, Mystery",Dmitry Kiselev,Konstantin Davydov,7.313
Stalker,1979,93.0,"Horror, Thriller",Steve Johnson,Sophie Skelton,6.0
Rosemary's Baby,1968,138.0,"Drama, Horror, Thriller",Roman Polanski,Mia Farrow,7.827
Faust,1926,128.0,"Drama, Fantasy",Peter Gorski,Will Quadflieg,7.281
Awake,2007,84.0,"Thriller, Crime, Mystery",Joby Harold,Hayden Christensen,6.537
The Big Short,2015,131.0,"Comedy, Drama",Adam McKay,Steve Carell,7.356
Babel,2006,143.0,Drama,Alejandro González Iñárritu,Rinko Kikuchi,7.171
The Thin Red Line,1998,171.0,"Drama, History, War",Terrence Malick,Jim Caviezel,7.45
Enemy,2013,91.0,"Thriller, Mystery",Denis Villeneuve,Jake Gyllenhaal,6.856
The Pink Panther 2,2009,92.0,"Comedy, Mystery",Harald Zwart,Steve Martin,5.7
The Fly,1986,96.0,"Horror, Science Fiction",David Cronenberg,Jeff Goldblum,7.4
The Time Machine,1960,103.0,"Thriller, Adventure, Fantasy, Science Fiction, Romance",George Pal,Rod Taylor,7.335
The Searchers,1956,119.0,Western,John Ford,John Wayne,7.698
The Wild Bunch,1969,145.0,Western,Sam Peckinpah,William Holden,7.598
12 Years a Slave,2013,134.0,"Drama, History",Steve McQueen,Chiwetel Ejiofor,7.937
The Outlaw Josey Wales,1976,135.0,Western,Clint Eastwood,Clint Eastwood,7.432
For a Few Dollars More,1965,132.0,Western,Sergio Leone,Clint Eastwood,8.019
Unbreakable,2000,106.0,"Thriller, Drama, Mystery",M. Night Shyamalan,Bruce Willis,7.1
Inside Llewyn Davis,2013,104.0,"Drama, Music",Joel Coen,Oscar Isaac,7.191
Life of Pi,2012,127.0,"Adventure, Drama",Ang Lee,Suraj Sharma,7.405
The Adventures of Tintin,2011,107.0,"Adventure, Animation, Mystery",Steven Spielberg,Jamie Bell,6.901
Hugo,2011,126.0,"Adventure, Drama, Family",Martin Scorsese,Asa Butterfield,7.171
The Birth of a Nation,1915,195.0,"Drama, History, War",D.W. Griffith,Lillian Gish,6.005
Willy Wonka & the Chocolate Factory,1971,99.0,"Family, Fantasy, Comedy",Mel Stuart,Gene Wilder,7.482
Sleepers,1996,147.0,"Crime, Drama, Thriller",Barry Levinson,Kevin Bacon,7.604
Lion,2016,118.0,Drama,Garth Davis,Dev Patel,8.045
Thirteen Lives,2022,147.0,"Drama, Thriller",Ron Howard,Viggo Mortensen,7.9
The Man Who Knew Too Much,1956,120.0,"Thriller, Mystery",Alfred Hitchcock,James Stewart,7.457
Corpse Bride,2005,77.0,"Romance, Fantasy, Animation",Tim Burton,Johnny Depp,7.58
A Brighter Summer Day,1991,237.0,"Crime, Drama, Romance",Edward Yang,Chang Chen,8.31
The Hunt for Red October,1990,135.0,"Action, Adventure, Thriller",John McTiernan,Sean Connery,7.4
Back to the Future Part III,1990,119.0,"Adventure, Comedy, Science Fiction",Robert Zemeckis,Michael J. Fox,7.488
Arrival,2016,116.0,"Drama, Science Fiction, Mystery",Denis Villeneuve,Amy Adams,7.616
Neighboring Sounds,2012,131.0,"Thriller, Drama, Crime",Kleber Mendonça Filho,Irandhir Santos,7.1
The Emperor's New Groove,2000,78.0,"Adventure, Animation, Comedy, Family, Fantasy",Mark Dindal,David Spade,7.558
Dances with Wolves,1990,181.0,"Adventure, Drama, Western",Kevin Costner,Kevin Costner,7.8
Harriet,2019,125.0,"Drama, History",Kasi Lemmons,Cynthia Erivo,7.311
The Banker,2020,120.0,Drama,George Nolfi,Anthony Mackie,7.626
Puss in Boots: The Last Wish,2022,103.0,"Animation, Adventure, Fantasy, Comedy, Family",Joel Crawford,Antonio Banderas,8.216
Lincoln,2012,149.0,"History, Drama",Steven Spielberg,Daniel Day-Lewis,6.856
TÁR,2022,158.0,"Music, Drama",Todd Field,Cate Blanchett,7.091
Tchaikovsky's Wife,2022,144.0,"Drama, History",Kirill Serebrennikov,Alyona Mikhaylova,6.4
Narvik,2022,108.0,"War, Drama, History, Action",Erik Skjoldbjærg,Kristine Cornelie M. Hartgen,6.776
Autumn Sonata,1978,93.0,Drama,Ingmar Bergman,Ingrid Bergman,7.976
"Lock, Stock and Two Smoking Barrels",1998,105.0,"Comedy, Crime",Guy Ritchie,Vinnie Jones,8.113
